tool;sample_id;recall;precision;f1_score
greedy_putative;23;1.0;0.27730289585489604;0.4342006845123417
greedy_questionable;23;0.04188747925699909;0.00241249558133505;0.004562230971441965
plasmidSPAdes;23;1.0;0.08529221111528096;0.15717833453836724
mob_recon;23;0.8098067555270061;1.0;0.8949096394451181
greedy_putative;24;0.6646203399212415;0.9537484555805025;0.7833574454835559
greedy_questionable;24;0.15162867123875773;0.6191087710286375;0.24359693756973153
plasmidSPAdes;24;1.0;0.9519442645519455;0.9753805801114483
mob_recon;24;0.6453295152668179;0.9701871745864364;0.7750961943337393
greedy_putative;25;0.9913193663081147;0.9448367972480854;0.9675201130390362
greedy_questionable;25;0.2425176650614339;0.10428925114948072;0.14585629350249701
plasmidSPAdes;25;1.0;0.6077245566692367;0.7560058147376625
mob_recon;25;0.4453339484225213;1.0;0.6162367512484869
greedy_putative;26;1.0;0.7391543798785776;0.8500158334767073
greedy_questionable;26;0.1971698032249483;0.1331151959524666;0.15893120824479157
plasmidSPAdes;26;1.0;0.4339622641509434;0.6052631578947368
mob_recon;26;0.1671429429584052;0.2986413084365267;0.2143300767749959
greedy_putative;27;0.9276589507766412;0.9091588630464654;0.9183157421884521
greedy_questionable;27;0.32546976545870626;0.16130760007547124;0.2157074279970162
plasmidSPAdes;27;0.9224091697951053;0.7510551883411642;0.8279593041582627
mob_recon;27;0.5349147077144466;0.3614585337694824;0.43140396654881996
greedy_putative;28;1.0;0.7979845333100751;0.8876433790461945
greedy_questionable;28;0.0;0.0;0
plasmidSPAdes;28;0.9736251063691276;0.9182294260981947;0.9451162415644766
mob_recon;28;0.9673429340674159;0.886841722867571;0.9253448096914094
greedy_putative;30;0.4798971510351603;0.9086935347848294;0.6280892461118528
greedy_questionable;30;0.5087749087336721;0.10981133832499296;0.18063529184450874
plasmidSPAdes;30;1.0;0.6891915017568133;0.8160016209411806
mob_recon;30;0.357030236140253;0.6047299633496992;0.448982774979316
greedy_putative;31;0.07122524795125751;0.18297657597039405;0.10253704549956517
greedy_questionable;31;0.9719000062030891;0.07955941648760702;0.1470789946034189
plasmidSPAdes;31;1.0;0.9007206487127589;0.9477675210428862
mob_recon;31;0.24607654611996774;0.9236631565632609;0.3886195173575399
greedy_putative;32;0.7220710262192745;0.9881135137506031;0.8343990045747909
greedy_questionable;32;0.4079560558163085;0.06712890412296654;0.11528734970173324
plasmidSPAdes;32;0.9283108871115493;0.9893375290573823;0.9578531617248246
mob_recon;32;0.577986602220527;1.0;0.7325621160625699
greedy_putative;33;0.8049268127564401;0.9258797622214112;0.8611770451705246
greedy_questionable;33;0.223272499501751;0.05465719427788978;0.0878168015530782
plasmidSPAdes;33;0.5251987459942361;0.8198993290326586;0.6402657284909995
mob_recon;33;0.5709459138835901;1.0;0.7268816944462904
greedy_putative;34;0.7900124189855241;0.8808676912132403;0.8329698956782523
greedy_questionable;34;0.08648174021034656;0.008290045415551549;0.015129767772652104
plasmidSPAdes;34;0.8866670547599643;0.831018972995163;0.8579415950635126
mob_recon;34;0.615928319167928;0.9878458327448488;0.7587629749910918
